Date,StoreID,ProductID,ProductName,Category,SubCategory,City,Region,Price,DiscountPct,PromotionFlag,CompetitionPrice,Season,HolidayFlag,HolidayName,AdSpend,DailySalesQty,UnemploymentRate,Inflation,Temperature,Precipitation,MedianIncome,CompetitorStoresNearby
01/01/2023,S009,P0001,T-Shirt Basic 1,T-Shirt,Basic,Mumbai,West,1778,10,0,1700,Spring,0,,548,526,5.537634977801087,7.861081070957067,18.50703579415695,9,38856,2
01/02/2023,S035,P0002,T-Shirt Basic 2,T-Shirt,Basic,Delhi,South,592,0,0,582,Winter,0,Festival,231,255,4.692214210642992,3.73031582468,25.435365972770928,5,35554,7
01/03/2023,S012,P0003,T-Shirt Basic 3,T-Shirt,Basic,Kolkata,South,1529,20,0,1348,Summer,0,Festival,3724,804,7.322279174141038,3.656738497397532,11.670895886261869,1,46408,2
01/04/2023,S039,P0004,T-Shirt Basic 4,T-Shirt,Basic,Bhubaneswar,East,1089,10,0,1160,Summer,0,Festival,3041,302,8.215060210120868,3.1399558363058184,33.96499413708176,3,41808,13
01/05/2023,S040,P0005,T-Shirt Basic 5,T-Shirt,Basic,Delhi,North,1127,5,0,978,Winter,1,NewYear,4879,797,4.839147559096504,7.8888172982952085,20.82683175513491,4,37393,16
01/06/2023,S029,P0006,T-Shirt Basic 6,T-Shirt,Basic,Delhi,East,1345,20,1,1212,Winter,0,,3668,323,5.452698456268589,5.876235835955597,23.042967145939492,2,48352,0
01/07/2023,S022,P0007,T-Shirt Basic 7,T-Shirt,Basic,Kolkata,West,1727,10,0,1989,Summer,0,,4828,163,4.037475084039901,3.7543562346045984,27.393415084505484,9,37249,9
01/08/2023,S036,P0008,T-Shirt Basic 8,T-Shirt,Basic,Chennai,South,1340,5,0,1275,Summer,0,NewYear,2644,369,5.168495354039263,3.422641547873583,21.768849853871927,2,41799,5
01/09/2023,S015,P0009,T-Shirt Basic 9,T-Shirt,Basic,Kolkata,East,713,5,0,683,Spring,0,Festival,3521,685,6.8816325845857484,7.825574941642143,29.04825520509936,5,46286,11
01/10/2023,S008,P0010,T-Shirt Basic 10,T-Shirt,Basic,Mumbai,North,1346,10,0,1404,Autumn,0,,4941,779,8.189114123321122,4.727991997927498,30.7598221969108,4,47634,0
01/11/2023,S048,P0011,T-Shirt Basic 11,T-Shirt,Basic,Mumbai,North,1879,5,0,2066,Summer,0,Christmas,658,679,7.501193272805951,7.444157210719232,18.19307373309627,0,42024,5
01/12/2023,S043,P0012,T-Shirt Basic 12,T-Shirt,Basic,Chennai,North,1718,10,0,1749,Autumn,0,,3023,453,4.215146802548078,6.137421627094882,10.466676453783462,2,33664,11
01/13/2023,S042,P0013,T-Shirt Basic 13,T-Shirt,Basic,Bhubaneswar,East,1567,10,0,1523,Winter,0,,1240,516,4.37019277414665,6.826490702927476,29.74806460614985,8,45391,3
01/14/2023,S046,P0014,T-Shirt Basic 14,T-Shirt,Basic,Bhubaneswar,East,571,10,1,393,Summer,0,,1047,760,5.363555089455646,3.4205249046882527,24.16163836469742,8,36713,15
